"","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","type","id","uri","track_href","analysis_url","duration_ms","time_signature","genre"
"1",0.683,0.537,2,-6.945,0,0.0878,0.0619,1.01e-05,0.247,0.153,145.089,"audio_features","1olNHIIVl4EVwIEPGYIR7G","spotify:track:1olNHIIVl4EVwIEPGYIR7G","https://api.spotify.com/v1/tracks/1olNHIIVl4EVwIEPGYIR7G","https://api.spotify.com/v1/audio-analysis/1olNHIIVl4EVwIEPGYIR7G",338413,4,"pop"
"2",0.768,0.632,0,-3.877,0,0.0252,0.469,0,0.0391,0.788,102.074,"audio_features","2s0Dn2mtvp94wUkyaB8nJc","spotify:track:2s0Dn2mtvp94wUkyaB8nJc","https://api.spotify.com/v1/tracks/2s0Dn2mtvp94wUkyaB8nJc","https://api.spotify.com/v1/audio-analysis/2s0Dn2mtvp94wUkyaB8nJc",212267,4,"pop"
"3",0.693,0.717,9,-6.346,0,0.107,0.14,0,0.0464,0.412,99.836,"audio_features","2NlTOhsAamXOaZciOXbITb","spotify:track:2NlTOhsAamXOaZciOXbITb","https://api.spotify.com/v1/tracks/2NlTOhsAamXOaZciOXbITb","https://api.spotify.com/v1/audio-analysis/2NlTOhsAamXOaZciOXbITb",234308,4,"pop"
"4",0.765,0.412,7,-8.932,0,0.0726,0.72,0,0.126,0.632,109.986,"audio_features","2BqQQXuBOuhaWeUP7okEx0","spotify:track:2BqQQXuBOuhaWeUP7okEx0","https://api.spotify.com/v1/tracks/2BqQQXuBOuhaWeUP7okEx0","https://api.spotify.com/v1/audio-analysis/2BqQQXuBOuhaWeUP7okEx0",211573,4,"pop"
"5",0.506,0.805,1,-4.119,1,0.0469,0.00711,0.00193,0.0856,0.383,126.008,"audio_features","46lFttIf5hnUZMGvjK0Wxo","spotify:track:46lFttIf5hnUZMGvjK0Wxo","https://api.spotify.com/v1/tracks/46lFttIf5hnUZMGvjK0Wxo","https://api.spotify.com/v1/audio-analysis/46lFttIf5hnUZMGvjK0Wxo",227074,4,"pop"
"6",0.809,0.588,0,-5.167,1,0.0869,0.0878,7.24e-05,0.171,0.249,146.024,"audio_features","3y9cCbnBn0zjkJa2YkOj70","spotify:track:3y9cCbnBn0zjkJa2YkOj70","https://api.spotify.com/v1/tracks/3y9cCbnBn0zjkJa2YkOj70","https://api.spotify.com/v1/audio-analysis/3y9cCbnBn0zjkJa2YkOj70",254080,4,"pop"
"7",0.628,0.74,5,-4.836,0,0.0358,0.00415,0,0.277,0.257,86.983,"audio_features","7xrA11O07xo57Bbg6p4hck","spotify:track:7xrA11O07xo57Bbg6p4hck","https://api.spotify.com/v1/tracks/7xrA11O07xo57Bbg6p4hck","https://api.spotify.com/v1/audio-analysis/7xrA11O07xo57Bbg6p4hck",193893,4,"pop"
"8",0.556,0.538,8,-5.408,0,0.0382,0.0689,0,0.196,0.291,143.95,"audio_features","75ZvA4QfFiZvzhj2xkaWAh","spotify:track:75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/tracks/75ZvA4QfFiZvzhj2xkaWAh","https://api.spotify.com/v1/audio-analysis/75ZvA4QfFiZvzhj2xkaWAh",223347,4,"pop"
"9",0.72,0.763,9,-4.068,0,0.0523,0.406,0,0.18,0.742,101.965,"audio_features","5knuzwU65gJK7IF5yJsuaW","spotify:track:5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/tracks/5knuzwU65gJK7IF5yJsuaW","https://api.spotify.com/v1/audio-analysis/5knuzwU65gJK7IF5yJsuaW",251088,4,"pop"
"10",0.706,0.786,0,-3.417,0,0.0909,0.26,0,0.38,0.749,150.035,"audio_features","0puf9yIluy9W0vpMEUoAnN","spotify:track:0puf9yIluy9W0vpMEUoAnN","https://api.spotify.com/v1/tracks/0puf9yIluy9W0vpMEUoAnN","https://api.spotify.com/v1/audio-analysis/0puf9yIluy9W0vpMEUoAnN",199387,4,"pop"
